Title,Apple II 32-GPIO Card
Revision,0.1
Date,2018-09-14
Generated,9/14/2018 2:40:39 PM
Company,Scott Alfter
Comment 1,
Comment 2,
Comment 3,
Comment 4,
Total Parts,16
Total Unique Parts,9



Ref,Qty,Value,Footprint,Critical,Description,JEDEC Pkg,Manufacturer,Mfr PN,Qty Per Unit,Subs OK?,Vendor 1 PN,Vendor 1 URL,Vendor 2 PN,Vendor 2 URL,
C3 C4 C5 C6 C7 C8 C2 ,7,0.1u,Capacitor_SMD:C_0805_2012Metric,n,CAP CER 0.1UF 25V Y5V 0805,0805,various, ,1,y,80-C0805C104Z3V,https://www.mouser.com/ProductDetail/KEMET/C0805C104Z3VACTU?qs=sGAEpiMZZMukHu%252bjC5l7YQmPQw%252bwfPYPv1U1XacUC1s%3d,1276-1286-1-ND,https://www.digikey.com/products/en?keywords=1276-1286-1-ND
C1 ,1,10u,Capacitor_SMD:C_0805_2012Metric,n,CAP CER 10UF 10V X5R 0805,0805,various, ,1,y,710-885012107010,https://www.mouser.com/ProductDetail/Wurth-Electronics/885012107010?qs=sGAEpiMZZMukHu%252bjC5l7YRTxnIahtzp%252bEFxWFMN7Dfw%3d,1276-1052-1-ND,https://www.digikey.com/products/en?keywords=1276-1052-1-ND
J1 ,1,Conn_02x20_Top_Bottom,Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical,n,Connector Header Through Hole 40 position 0.100" (2.54mm), ,Amphenol FCI,67997-240HLF,1,y,649-67997-240HLF,https://www.mouser.com/ProductDetail/Amphenol-FCI/67997-240HLF?qs=sGAEpiMZZMs%252bGHln7q6pm24n0txessAM72eL6biLBJc%3d,67997-240HLF-ND,https://www.digikey.com/products/en?keywords=67997-240HLF-ND
J2 ,1,Conn_02x01_Top_Bottom,Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical,n,Connector Header Through Hole 2 position 0.100" (2.54mm), ,Amphenol FCI,67997-202HLF,1,y,649-67997-202HLF,https://www.mouser.com/ProductDetail/Amphenol-FCI/67997-202HLF?qs=sGAEpiMZZMs%252bGHln7q6pm2nKUjHUi6l6CAxgwh5TlXQ%3d,67997-202HLF-ND,https://www.digikey.com/products/en?keywords=67997-202HLF-ND
P1 ,1,A2Bus,apple2-bus:Male_Card-Edge_50_pin__100_mil,y,Apple II expansion slot, , , ,0,n, , , , 
U5 U4 ,2,W65C22,Package_DIP:DIP-40_W15.24mm,n,Versatile Interface Adapter,40-DIP,Western Design Center,W65C22S6TPG-14,1,y,955-W65C22S6TPG-14,https://www.mouser.com/ProductDetail/Western-Design-Center-WDC/W65C22S6TPG-14?qs=%2fha2pyFaduiPoUewmeSNS2V2xAikbXJXjDI3LvDLIQQGtauOEzdaYGsMcmJ3fMK7, , 
U2 ,1,74LS04,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,n,IC INVERTER 6CH 6-INP 14SOIC,14-SOIC,Texas Instruments,SN74LS04DR,1,y,595-SN74LS04DR,https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS04DR?qs=sGAEpiMZZMutVWjHE%2fYQw8FcJMyir0LqLifQhKp83bc%3d,296-14875-1-ND,https://www.digikey.com/products/en?keywords=296-14875-1-ND
U3 ,1,74LS74,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,n,IC FF D-TYPE DUAL 1BIT 14SOIC,14-SOIC,Texas Instruments,SN74LS74ADR,1,y,595-SN74LS74ADR,https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS74ADR?qs=%2fha2pyFadujcJC0ZhJjMuAtaA5myyxEtxAnaYdM3lgy%2fcyaEAWPajA%3d%3d,296-14899-1-ND,https://www.digikey.com/products/en?keywords=296-14899-1-ND
U1 ,1,74LS245,Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,n,IC TXRX NON-INVERT 5.25V 20SOIC,20-SOIC,Texas Instruments,SN74LS245DWR,1,y,595-SN74LS245DWR,https://www.mouser.com/ProductDetail/Texas-Instruments/SN74LS245DWR?qs=%2fha2pyFaduhIN6VsmnCvbCDX9udzctOc87rXwEE6Hm%252bFAmYVNuMBdg%3d%3d,296-1214-1-ND,https://www.digikey.com/products/en?keywords=296-1214-1-ND




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated 9/14/2018 2:40:39 PM
